DPRIO Offset(hex) ,DPRIO Bit Offset ,Attribute Name ,Other DPRIO Offset (hex) ,Attribute Encoding ,DPRIO Encoding ,Block
,,,,non_local,1'b0
,1,rx_det_output_sel,"",rx_det_pcie_out,1'b0,hssi_pma_tx_buf
,,,,rx_det_qpi_out,1'b1
,2,rx_det_pdb,"",rx_det_off,1'b0,hssi_pma_tx_buf
,,,,rx_det_on,1'b1
,[6:3],rx_det,"",mode_0,4'b0000,hssi_pma_tx_buf
,,,,mode_1,4'b0001
,,,,mode_10,4'b1010
,,,,mode_11,4'b1011
,,,,mode_12,4'b1100
,,,,mode_13,4'b1101
,,,,mode_14,4'b1110
,,,,mode_15,4'b1111
,,,,mode_2,4'b0010
,,,,mode_3,4'b0011
,,,,mode_4,4'b0100
,,,,mode_5,4'b0101
,,,,mode_6,4'b0110
,,,,mode_7,4'b0111
,,,,mode_8,4'b1000
,,,,mode_9,4'b1001
,7,cpen_ctrl,"",cp_l0,1'b0,hssi_pma_tx_buf
,,,,cp_l1,1'b1
10E,[3:0],lst,"",atb_0,4'b0000,hssi_pma_tx_buf
,,,,atb_1,4'b0001
,,,,atb_10,4'b1011
,,,,atb_11,4'b1100
,,,,atb_12,4'b1101
,,,,atb_13,4'b1110
,,,,atb_14,4'b1111
,,,,atb_2,4'b0010
,,,,atb_3,4'b0011
,,,,atb_4,4'b0100
,,,,atb_5,4'b0101
,,,,atb_6,4'b0110
,,,,atb_7,4'b0111
,,,,atb_8,4'b1000
,,,,atb_9,4'b1010
,,,,atb_disabled,4'b1001
,[7:4],dft_sel,"",dft_disabled,4'b1111,hssi_pma_tx_buf
,,,,en_t50_8_s_main_59_56,4'b1001
,,,,en_tri_s_po1_24,4'b1101
,,,,s_main_15_8,4'b0011
,,,,s_main_23_16,4'b0100
,,,,s_main_31_24,4'b0101
,,,,s_main_39_32,4'b0110
,,,,s_main_47_40,4'b0111
,,,,s_main_55_48,4'b1000
,,,,s_main_7_0,4'b0010
,,,,s_po1_15_8,4'b1011
,,,,s_po1_23_16,4'b1100
,,,,s_po1_7_0,4'b1010
,,,,s_pr1_15_8,4'b0000
,,,,s_pr1_7_0,4'b1110
,,,,tx50_7_0,4'b0001
10F,0,ser_powerdown,"",normal_poweron_ser,1'b1,hssi_pma_tx_cgb
,,,,powerdown_ser,1'b0
,0,ser_powerdown,"",normal_poweron_ser,1'b1,hssi_pma_tx_ser
,,,,powerdown_ser,1'b0
,0,ser_powerdown,"",normal_ser_on,1'b1,hssi_pma_tx_buf
,,,,power_down_ser,1'b0
,[2:1],control_clk_divtx,"",dft_control_clkdivtx_high,2'b00,hssi_pma_tx_ser
,,,,dft_control_clkdivtx_low,2'b11
,,,,no_dft_control_clkdivtx,2'b01
,[6:3],clk_divtx_deskew,"",deskew_delay0,4'b0000,hssi_pma_tx_ser
,,,,deskew_delay1,4'b0001
,,,,deskew_delay10,4'b1010
,,,,deskew_delay11,4'b1011
,,,,deskew_delay12,4'b1100
,,,,deskew_delay13,4'b1101
,,,,deskew_delay14,4'b1110
,,,,deskew_delay15,4'b1111
,,,,deskew_delay2,4'b0010
,,,,deskew_delay3,4'b0011
,,,,deskew_delay4,4'b0100
,,,,deskew_delay5,4'b0101
,,,,deskew_delay6,4'b0110
,,,,deskew_delay7,4'b0111
,,,,deskew_delay8,4'b1000
,,,,deskew_delay9,4'b1001
,7,cdr_cp_calibration_en,"",cdr_cp_cal_disable,1'b0,hssi_pma_tx_buf
,,,,cdr_cp_cal_enable,1'b1
110,[2:0],ser_mode,"",eight_bit,3'b000,hssi_pma_tx_cgb
,,,,forty_bit,3'b110
,,,,sixteen_bit,3'b001
,,,,sixty_four_bit,3'b011
,,,,ten_bit,3'b100
,,,,thirty_two_bit,3'b010
,,,,twenty_bit,3'b101
,[5:3],ser_clk_divtx_user_sel,"",divtx_user_1,3'b010,hssi_pma_tx_ser
,,,,divtx_user_2,3'b011
,,,,divtx_user_33,3'b110
,,,,divtx_user_40,3'b100
,,,,divtx_user_66,3'b111
,,,,divtx_user_off,3'b000
,6,chgpmp_current_dn_trim,"114",cp_current_trimming_dn_setting0,1'b0,hssi_pma_tx_buf
,,,,cp_current_trimming_dn_setting1,1'b0
,,,,cp_current_trimming_dn_setting10,1'b1
,,,,cp_current_trimming_dn_setting11,1'b1
,,,,cp_current_trimming_dn_setting12,1'b1
,,,,cp_current_trimming_dn_setting13,1'b1
,,,,cp_current_trimming_dn_setting14,1'b1
,,,,cp_current_trimming_dn_setting15,1'b1
,,,,cp_current_trimming_dn_setting2,1'b0
,,,,cp_current_trimming_dn_setting3,1'b0
,,,,cp_current_trimming_dn_setting4,1'b0
,,,,cp_current_trimming_dn_setting5,1'b0
,,,,cp_current_trimming_dn_setting6,1'b0
,,,,cp_current_trimming_dn_setting7,1'b0
,,,,cp_current_trimming_dn_setting8,1'b1
,,,,cp_current_trimming_dn_setting9,1'b1
,7,chgpmp_current_up_trim,"119",cp_current_trimming_up_setting0,1'b0,hssi_pma_tx_buf
,,,,cp_current_trimming_up_setting1,1'b0
,,,,cp_current_trimming_up_setting10,1'b1
,,,,cp_current_trimming_up_setting11,1'b1
,,,,cp_current_trimming_up_setting12,1'b1
,,,,cp_current_trimming_up_setting13,1'b1
,,,,cp_current_trimming_up_setting14,1'b1
,,,,cp_current_trimming_up_setting15,1'b1
,,,,cp_current_trimming_up_setting2,1'b0
,,,,cp_current_trimming_up_setting3,1'b0
,,,,cp_current_trimming_up_setting4,1'b0
,,,,cp_current_trimming_up_setting5,1'b0
,,,,cp_current_trimming_up_setting6,1'b0
,,,,cp_current_trimming_up_setting7,1'b0
,,,,cp_current_trimming_up_setting8,1'b1
,,,,cp_current_trimming_up_setting9,1'b1
111,[4:0],x1_clock_source_sel,"119",cdr_txpll_b,5'b00100,hssi_pma_tx_cgb
,,,,cdr_txpll_t,5'b00101
,,,,fpll_bot,5'b00010
,,,,fpll_bot_g1_g2,5'b00010
,,,,fpll_bot_g2_lcpll_bot_g3,5'b01000
,,,,fpll_bot_g2_lcpll_top_g3,5'b01001
,,,,fpll_top,5'b00011
,,,,fpll_top_g1_g2,5'b00011
,,,,fpll_top_g2_lcpll_bot_g3,5'b01010
,,,,fpll_top_g2_lcpll_top_g3,5'b01011
,,,,lcpll_bot,5'b00000
,,,,lcpll_bot_g1_g2,5'b00000
,,,,lcpll_hs,5'b00111
,,,,lcpll_top,5'b00001
,,,,lcpll_top_g1_g2,5'b00001
,,,,same_ch_txpll,5'b00110
,,,,xn_non_bonding,5'b11000
,[7:5],xn_clock_source_sel,"",sel_cgb_loc,3'b100,hssi_pma_tx_cgb
,,,,sel_x6_bot,3'b011
,,,,sel_x6_top,3'b010
,,,,sel_xn_dn,3'b001
,,,,sel_xn_up,3'b000
112,0,cgb_power_down,"",normal_cgb,1'b1,hssi_pma_tx_cgb
,,,,power_down_cgb,1'b0
,1,bonding_reset_enable,"",allow_bonding_reset,1'b1,hssi_pma_tx_cgb
,,,,disallow_bonding_reset,1'b0
,2,bitslip_enable,"",disable_bitslip,1'b0,hssi_pma_tx_cgb
,,,,enable_bitslip,1'b1
,[4:3],observe_cgb_clocks,"",observe_cpulseout_bus,2'b10,hssi_pma_tx_cgb
,,,,observe_nothing,2'b00
,,,,observe_x1mux_out,2'b01
,5,select_done_master_or_slave,"",choose_master_pcie_sw_done,1'b0,hssi_pma_tx_cgb
,,,,choose_slave_pcie_sw_done,1'b1
,[7:6],vreg_output,"113",vccdreg_neg_setting1,2'b00,hssi_pma_tx_buf
,,,,vccdreg_neg_setting2,2'b01
,,,,vccdreg_neg_setting3,2'b10
,,,,vccdreg_neg_setting4,2'b11
,,,,vccdreg_nominal,2'b00
,,,,vccdreg_pos_setting1,2'b01
,,,,vccdreg_pos_setting10,2'b10
,,,,vccdreg_pos_setting11,2'b11
