43,PAD_130,PAD_130,PAD_186,PAD_242,2 SPIS1:MOSI 8 EMAC1:TXD1 13 UART1:RTS_N 14 NAND:ADQ2 15 GPIO1:IO5,HPS_DIRECT_SHARED_Q3_6, 
44,PAD_129,PAD_129,PAD_185,PAD_241,0 I2C1:SDA 2 SPIS1:SS0_N 8 EMAC1:RXD0 13 UART1:TX 14 NAND:ADQ3 15 GPIO1:IO6,HPS_DIRECT_SHARED_Q3_7, 
45,PAD_128,PAD_128,PAD_184,PAD_240,0 I2C1:SCL 2 SPIS1:MISO 8 EMAC1:RXD1 13 UART1:RX 14 NAND:CLE 15 GPIO1:IO7,HPS_DIRECT_SHARED_Q3_8, 
46,PAD_127,PAD_127,PAD_183,PAD_239,0 I2CEMAC2:SDA 1 EMAC2:MDIO 2 SPIS0:CLK 8 EMAC1:TXD2 14 NAND:ADQ4 15 GPIO1:IO8,HPS_DIRECT_SHARED_Q3_9, 
47,PAD_126,PAD_126,PAD_182,PAD_238,0 I2CEMAC2:SCL 1 EMAC2:MDC 2 SPIS0:MOSI 8 EMAC1:TXD3 14 NAND:ADQ5 15 GPIO1:IO9,HPS_DIRECT_SHARED_Q3_10, 
48,PAD_125,PAD_125,PAD_181,PAD_237,0 I2CEMAC0:SDA 1 EMAC0:MDIO 2 SPIS0:SS0_N 8 EMAC1:RXD2 14 NAND:ADQ6 15 GPIO1:IO10,HPS_DIRECT_SHARED_Q3_11, 
49,PAD_124,PAD_124,PAD_180,PAD_236,0 I2CEMAC0:SCL 1 EMAC0:MDC 2 SPIS0:MISO 8 EMAC1:RXD3 14 NAND:ADQ7 15 GPIO1:IO11,HPS_DIRECT_SHARED_Q3_12, 
50,PAD_123,PAD_123,PAD_179,PAD_235,0 I2C1:SDA 4 SDMMC:D0 8 EMAC2:TX_CLK 14 NAND:ALE 15 GPIO1:IO12,HPS_DIRECT_SHARED_Q4_1, 
51,PAD_122,PAD_122,PAD_178,PAD_234,0 I2C1:SCL 4 SDMMC:CMD 8 EMAC2:TX_CTL 14 NAND:RB 15 GPIO1:IO13,HPS_DIRECT_SHARED_Q4_2, 
52,PAD_121,PAD_121,PAD_177,PAD_233,4 SDMMC:CCLK 8 EMAC2:RX_CLK 13 UART1:TX 14 NAND:CE_N 15 GPIO1:IO14,HPS_DIRECT_SHARED_Q4_3, 
53,PAD_120,PAD_120,PAD_176,PAD_232,4 SDMMC:D1 8 EMAC2:RX_CTL 12 TRACE:CLK 13 UART1:RX 15 GPIO1:IO15,HPS_DIRECT_SHARED_Q4_4, 
54,PAD_119,PAD_119,PAD_175,PAD_231,4 SDMMC:D2 8 EMAC2:TXD0 12 QSPI:SS2 13 UART1:CTS_N 14 NAND:ADQ8 15 GPIO1:IO16,HPS_DIRECT_SHARED_Q4_5, 
55,PAD_118,PAD_118,PAD_174,PAD_230,3 SPIM0:SS1_N 4 SDMMC:D3 8 EMAC2:TXD1 12 QSPI:SS3 13 UART1:RTS_N 14 NAND:ADQ9 15 GPIO1:IO17,HPS_DIRECT_SHARED_Q4_6, 
56,PAD_117,PAD_117,PAD_173,PAD_229,0 I2CEMAC1:SDA 1 EMAC1:MDIO 3 SPIM0:MISO 4 SDMMC:D4 8 EMAC2:RXD0 14 NAND:ADQ10 15 GPIO1:IO18,HPS_DIRECT_SHARED_Q4_7, 
57,PAD_116,PAD_116,PAD_172,PAD_228,0 I2CEMAC1:SCL 1 EMAC1:MDC 3 SPIM0:SS0_N 4 SDMMC:D5 8 EMAC2:RXD1 12 TRACE:CLK 14 NAND:ADQ11 15 GPIO1:IO19,HPS_DIRECT_SHARED_Q4_8, 
58,PAD_115,PAD_115,PAD_171,PAD_227,0 I2CEMAC2:SDA 2 SPIS1:CLK 3 SPIM0:CLK 4 SDMMC:D6 8 EMAC2:TXD2 12 TRACE:D0 14 NAND:ADQ12 15 GPIO1:IO20,HPS_DIRECT_SHARED_Q4_9, 
59,PAD_114,PAD_114,PAD_170,PAD_226,0 I2CEMAC2:SCL 2 SPIS1:MOSI 3 SPIM0:MOSI 4 SDMMC:D7 8 EMAC2:TXD3 12 TRACE:D1 14 NAND:ADQ13 15 GPIO1:IO21,HPS_DIRECT_SHARED_Q4_10, 
60,PAD_113,PAD_113,PAD_169,PAD_225,0 I2CEMAC0:SDA 1 EMAC0:MDIO 2 SPIS1:SS0_N 3 SPIM0:MISO 8 EMAC2:RXD2 12 TRACE:D2 14 NAND:ADQ14 15 GPIO1:IO22,HPS_DIRECT_SHARED_Q4_11, 
61,PAD_112,PAD_112,PAD_168,PAD_224,0 I2CEMAC0:SCL 1 EMAC0:MDC 2 SPIS1:MISO 3 SPIM0:SS0_N 8 EMAC2:RXD3 12 TRACE:D3 14 NAND:ADQ15 15 GPIO1:IO23,HPS_DIRECT_SHARED_Q4_12, 
