#Peripheral,Internal Signal,FPGA Signal
EMAC2,mac_speed0,emac2_phy_mac_speed_o[0]
EMAC2,mac_speed1,emac2_phy_mac_speed_o[1]
NAND,adq_in0,nand_adq_i[0]
NAND,adq_in1,nand_adq_i[1]
NAND,adq_in2,nand_adq_i[2]
NAND,adq_in3,nand_adq_i[3]
NAND,adq_in4,nand_adq_i[4]
NAND,adq_in5,nand_adq_i[5]
NAND,adq_in6,nand_adq_i[6]
NAND,adq_in7,nand_adq_i[7]
NAND,adq_in8,nand_adq_i[8]
NAND,adq_in9,nand_adq_i[9]
NAND,adq_in10,nand_adq_i[10]
NAND,adq_in11,nand_adq_i[11]
NAND,adq_in12,nand_adq_i[12]
NAND,adq_in13,nand_adq_i[13]
NAND,adq_in14,nand_adq_i[14]
NAND,adq_in15,nand_adq_i[15]
NAND,adq_oe0,nand_adq_oe
NAND,adq_out0,nand_adq_o[0]
NAND,adq_out1,nand_adq_o[1]
NAND,adq_out2,nand_adq_o[2]
NAND,adq_out3,nand_adq_o[3]
NAND,adq_out4,nand_adq_o[4]
NAND,adq_out5,nand_adq_o[5]
NAND,adq_out6,nand_adq_o[6]
NAND,adq_out7,nand_adq_o[7]
NAND,adq_out8,nand_adq_o[8]
NAND,adq_out9,nand_adq_o[9]
NAND,adq_out10,nand_adq_o[10]
NAND,adq_out11,nand_adq_o[11]
NAND,adq_out12,nand_adq_o[12]
NAND,adq_out13,nand_adq_o[13]
NAND,adq_out14,nand_adq_o[14]
NAND,adq_out15,nand_adq_o[15]
NAND,ale_out,nand_ale_o
NAND,ce_outn0,nand_ce_o[0]
NAND,ce_outn1,nand_ce_o[1]
NAND,ce_outn2,nand_ce_o[2]
NAND,ce_outn3,nand_ce_o[3]
NAND,cle_out,nand_cle_o
NAND,re_outn,nand_re_o
NAND,rdy_bsy_in0,nand_rdy_busy_i[0]
NAND,rdy_bsy_in1,nand_rdy_busy_i[1]
NAND,rdy_bsy_in2,nand_rdy_busy_i[2]
NAND,rdy_bsy_in3,nand_rdy_busy_i[3]
NAND,we_outn,nand_we_o
NAND,wp_outn,nand_wp_o
QSPI,sck_out,qspi_sclk_out
QSPI,s2f_clk,qspi_s2f_clk
QSPI,mi0,qspi_io0_i
QSPI,mi1,qspi_io1_i
QSPI,mi2,qspi_io2_i
QSPI,mi3,qspi_io3_i
QSPI,mo0,qspi_io0_o
QSPI,mo1,qspi_io1_o
QSPI,mo2_wpn,qspi_io2_wpn_o
QSPI,mo3_hold,qspi_io3_hold_o
QSPI,n_mo_en0,qspi_mo_oe[0]
QSPI,n_mo_en1,qspi_mo_oe[1]
QSPI,n_mo_en2,qspi_mo_oe[2]
QSPI,n_mo_en3,qspi_mo_oe[3]
QSPI,n_ss_out0,qspi_ss_o[0]
QSPI,n_ss_out1,qspi_ss_o[1]
QSPI,n_ss_out2,qspi_ss_o[2]
QSPI,n_ss_out3,qspi_ss_o[3]
SDMMC,vs_o,sdmmc_vs_o
SDMMC,pwer_en_o,sdmmc_pwr_ena_o
SDMMC,wp_i,sdmmc_wp_i
SDMMC,cd_i_n,sdmmc_cdn_i
SDMMC,rst_out_n,sdmmc_rstn_o
SDMMC,card_int_n,sdmmc_card_intn_i
SDMMC,clk_in,sdmmc_clk_in
SDMMC,cclk_out,sdmmc_cclk_out
SDMMC,ccmd_i,sdmmc_cmd_i
SDMMC,ccmd_o,sdmmc_cmd_o
SDMMC,ccmd_en,sdmmc_cmd_oe
SDMMC,cdata_in0,sdmmc_data_i[0]
SDMMC,cdata_in1,sdmmc_data_i[1]
SDMMC,cdata_in2,sdmmc_data_i[2]
SDMMC,cdata_in3,sdmmc_data_i[3]
SDMMC,cdata_in4,sdmmc_data_i[4]
SDMMC,cdata_in5,sdmmc_data_i[5]
SDMMC,cdata_in6,sdmmc_data_i[6]
SDMMC,cdata_in7,sdmmc_data_i[7]
SDMMC,cdata_out0,sdmmc_data_o[0]
SDMMC,cdata_out1,sdmmc_data_o[1]
SDMMC,cdata_out2,sdmmc_data_o[2]
SDMMC,cdata_out3,sdmmc_data_o[3]
SDMMC,cdata_out4,sdmmc_data_o[4]
SDMMC,cdata_out5,sdmmc_data_o[5]
SDMMC,cdata_out6,sdmmc_data_o[6]
SDMMC,cdata_out7,sdmmc_data_o[7]
SDMMC,cdata_out_en0,sdmmc_data_oe[0]
SDMMC,cdata_out_en1,sdmmc_data_oe[1]
SDMMC,cdata_out_en2,sdmmc_data_oe[2]
SDMMC,cdata_out_en3,sdmmc_data_oe[3]
SDMMC,cdata_out_en4,sdmmc_data_oe[4]
SDMMC,cdata_out_en5,sdmmc_data_oe[5]
SDMMC,cdata_out_en6,sdmmc_data_oe[6]
SDMMC,cdata_out_en7,sdmmc_data_oe[7]
USB0,ulpi_clk,usb0_ulpi_clk
USB0,ulpi_dir,usb0_ulpi_dir
USB0,ulpi_nxt,usb0_ulpi_nxt
USB0,ulpi_datain0,usb0_ulpi_data_i[0]
USB0,ulpi_datain1,usb0_ulpi_data_i[1]
USB0,ulpi_datain2,usb0_ulpi_data_i[2]
USB0,ulpi_datain3,usb0_ulpi_data_i[3]
USB0,ulpi_datain4,usb0_ulpi_data_i[4]
USB0,ulpi_datain5,usb0_ulpi_data_i[5]
USB0,ulpi_datain6,usb0_ulpi_data_i[6]
USB0,ulpi_datain7,usb0_ulpi_data_i[7]
USB0,ulpi_stp,usb0_ulpi_stp
USB0,ulpi_dataout0,usb0_ulpi_data_o[0]
USB0,ulpi_dataout1,usb0_ulpi_data_o[1]
USB0,ulpi_dataout2,usb0_ulpi_data_o[2]
USB0,ulpi_dataout3,usb0_ulpi_data_o[3]
USB0,ulpi_dataout4,usb0_ulpi_data_o[4]
USB0,ulpi_dataout5,usb0_ulpi_data_o[5]
USB0,ulpi_dataout6,usb0_ulpi_data_o[6]
USB0,ulpi_dataout7,usb0_ulpi_data_o[7]
USB0,ulpi_data_out_en0,usb0_ulpi_data_oe[0]
